"Отметка времени","Ваш вік:","Ваша сфера діяльності чи навчання: ","Чи купуєте або гортаєте ви ілюстровані видання (артбуки, пікчербуки, графічні романи, комікси, манґу) для власного задоволення?","Що для вас найважливіше в книзі?","Як вам більше подобається сприймати приховані сенси в ілюстрованій книзі?  ","Що вас найбільше чіпляє в ілюстрованих виданнях?","З якою метою ви найчастіше купуєте/берете до рук такі видання?","Яка стилістика ілюстрацій вам найбільше відгукується?","Якій кольоровій гамі в ілюстрованих виданнях ви надаєте перевагу?","Як ви ставитеся до різкої зміни колористики всередині книги (наприклад, коли кольорові сторінки змінюються на чорно-білі або навпаки)?  ","Що для вас важливо в самій конструкції видання?","Яку тематичну сувенірну продукцію вам було б приємно отримати в комплекті з книгою?","А тут можна написати будь-що від себе авторці опитування або скинути посилання на улюблений мем 🤍 "
"2026/08/22 6:20:29 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Пастельна, стримана","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Наявність захисної суперобкладинки","Арт-картки/листівки;Стікерпак/наліпки;Закладки","<3"
"2026/08/22 6:34:03 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Інколи купую під настрій","Переважно візуал (історія розповідається чисто картинками, без слів або майже без них)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Цупкий матовий папір без зайвих відблисків","Стікерпак/наліпки;Металевий пін/значок",""
"2026/08/22 6:34:19 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Інколи купую під настрій","Переважно візуал (історія розповідається чисто картинками, без слів або майже без них)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій)","Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Насичена, яскрава","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Якісна тверда палітурка, яка тримає форму та захищає сторінки;Наявність захисної суперобкладинки;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки",""
"2026/08/22 6:36:36 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення","Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Стікерпак/наліпки;Закладки",""
"2026/08/22 6:40:30 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Переважно візуал (історія розповідається чисто картинками, без слів або майже без них)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення","Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Насичена, яскрава","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Великий формат, де добре видно всі деталі","Стікерпак/наліпки;Достатньо лише самої книги, без додаткових елементів","https://youtu.be/w0kG3YNgu54?si=9dAyB65gVHlyuAfG"
"2026/08/22 6:40:41 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Так, купую регулярно","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Чорно-біла / монохромна","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок","https://pin.it/335odZ7MS "
"2026/08/22 6:42:24 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Якісна тверда палітурка, яка тримає форму та захищає сторінки","Стікерпак/наліпки","Бажаю успіхів з дипломною, впевнена, вийде супер 🫶🏻💖"
"2026/08/22 6:43:24 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок","♡"
"2026/08/22 6:51:03 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Так, купую регулярно","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Насичена, яскрава","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Закладки;Достатньо лише самої книги, без додаткових елементів",""
"2026/08/22 6:53:16 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки","https://youtu.be/9SKcLx3GluA?si=s6NIRTeIXAdrwVlA"
"2026/08/22 7:00:24 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Так, купую регулярно","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Великий формат, де добре видно всі деталі","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок","https://pin.it/1kUK3qtug"
"2026/08/22 7:02:48 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій)","Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Арт-картки/листівки;Стікерпак/наліпки;Металевий пін/значок",""
"2026/08/22 7:05:41 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Колажна графіка (мікс різних текстур, фотографій, паперових елементів);Експериментальна графіка (нестандартна, модерна графіка, яка не є масовою, але одразу запам'ятовується)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Цупкий матовий папір без зайвих відблисків","Стікерпак/наліпки;Закладки",""
"2026/08/22 7:12:59 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій)","Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Насичена, яскрава","Негативно — віддаю перевагу єдиній кольоровій гамі протягом усієї книги","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі)","Арт-картки/листівки;Металевий пін/значок",""
"2026/08/22 7:16:08 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Переважно текст (головне — велика розповідь, а ілюстрації не обов'язкові або другорядні)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Не має значення, головне — загальна ідея","Нейтрально — якщо це виправдано ідеєю та атмосферою історії","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Стікерпак/наліпки;Закладки","Помада кентавра"
"2026/08/22 7:16:29 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Так, купую регулярно","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Мінімалістична графіка (прості форми, чисті заливки, чіткі контури);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Пастельна, стримана","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок","https://pin.it/4tVjX5Dmp"
"2026/08/22 7:50:56 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Захоплива або зворушлива історія (цікавий сюжет, персонажі);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Отримати естетичне задоволення та натхнення","Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Не має значення, головне — загальна ідея","Негативно — віддаю перевагу єдиній кольоровій гамі протягом усієї книги","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Великий формат, де добре видно всі деталі","Арт-картки/листівки;Стікерпак/наліпки",""
"2026/08/22 9:01:54 PM GMT+3","18–24 років","Гуманітарна та суспільна (маркетинг, освіта, філологія, психологія, менеджмент)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли сенс розкривається повністю візуально через метафори (без підказок)","Виразний авторський стиль (який виділяється і запам'ятовується);Захоплива або зворушлива історія (цікавий сюжет, персонажі);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо)","Емоційно відпочити та перемкнути увагу;Отримати естетичне задоволення та натхнення","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Пастельна, стримана","Негативно — віддаю перевагу єдиній кольоровій гамі протягом усієї книги","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки;Великий формат, де добре видно всі деталі;Цупкий матовий папір без зайвих відблисків","Арт-картки/листівки;Стікерпак/наліпки;Закладки;Металевий пін/значок",""
"2026/08/22 9:49:13 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Інколи купую під настрій","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли короткий текст або окремі фрази задають напрямок думки, але залишають простір для власних висновків","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій);Тактильні відчуття (приємно тримати в руках, відчувати фактуру паперу тощо);Глибина та приховані сенси (коли малюнки викликають філософські думки й мають підтекст, який прямо не прописується)","Емоційно відпочити та перемкнути увагу;Відпочити від екрану та інформаційного шуму;Отримати естетичне задоволення та натхнення;Для власної колекції або на подарунок","Деталізована лінійна графіка (тонкі лінії, штрихування, багато дрібних елементів, які хочеться розглядати);Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти);Колажна графіка (мікс різних текстур, фотографій, паперових елементів)","Не має значення, головне — загальна ідея","Позитивно — це сильний художній прийом, який підсилює емоції та зміну сюжету","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Великий формат, де добре видно всі деталі","Арт-картки/листівки;Стікерпак/наліпки;Металевий пін/значок","Каріна я тебе кохаюююююю🥰"
"2026/08/22 10:01:52 PM GMT+3","18–24 років","Творча та мистецька (дизайн, ілюстрація, театр/акторство, медіа, музика)","Не купую, але мені це цікаво","Рівнозначно і візуал, і текст (історія, де вони доповнюють один одного)","Коли є послідовна історія, яка веде читача від початку до розв'язки","Виразний авторський стиль (який виділяється і запам'ятовується);Загальна атмосфера і настрій (затишок, таємничість або спокій)","Отримати естетичне задоволення та натхнення","Живописна графіка (м'які світлотіні, плавні переходи кольору, мальовничі градієнти)","Насичена, яскрава","Негативно — віддаю перевагу єдиній кольоровій гамі протягом усієї книги","Зручність розглядати малюнки на весь розворот (без заломів та з'їдання картинки в центрі);Якісна тверда палітурка, яка тримає форму та захищає сторінки","Арт-картки/листівки;Стікерпак/наліпки",""
